I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-48, -29, 19, 39, -34, -4, -9, 4, -1307, -561, -336, -9, 
-58, -34, 24, 46, -41, -4, -4, 4, -1307, -561, -336, -9, 
-68, -34, 34, 51, -51, 0, 0, 4, -1302, -561, -331, -9, 
-68, -34, 34, 51, -51, 0, 0, 4, -1302, -566, -331, -9, 
-68, -34, 34, 51, -51, 0, 0, 4, -1302, -566, -331, -9, 
-68, -39, 29, 53, -48, -4, 4, 0, -1302, -566, -331, -9, 
-63, -39, 24, 51, -43, -7, 4, -4, -1302, -561, -331, -4, 
-63, -39, 24, 51, -43, -7, 4, -4, -1302, -561, -326, -4, 
-68, -39, 29, 53, -48, -4, 4, -4, -1298, -561, -326, -4, 
-63, -39, 24, 51, -43, -7, 9, -4, -1298, -566, -326, -4, 
-63, -39, 24, 51, -43, -7, 9, -4, -1298, -566, -326, -4, 
-63, -39, 24, 51, -43, -7, 9, -4, -1298, -566, -326, -4, 
-63, -34, 29, 48, -46, -2, 9, -4, -1293, -566, -322, 0, 
-68, -34, 34, 51, -51, 0, 9, -4, -1293, -566, -317, 0, 
-68, -34, 34, 51, -51, 0, 9, -4, -1288, -561, -312, 0, 
-68, -34, 34, 51, -51, 0, 9, 0, -1288, -561, -312, 0, 
-68, -34, 34, 51, -51, 0, 9, 4, -1283, -561, -307, 0, 
-68, -29, 39, 48, -53, 4, 9, 9, -1283, -566, -312, 0, 
-68, -29, 39, 48, -53, 4, 14, 14, -1273, -561, -312, -4, 
-68, -29, 39, 48, -53, 4, 14, 14, -1273, -566, -317, -4, 
-78, -39, 39, 58, -58, 0, 34, 43, -1254, -570, -322, -9, 
-78, -102, -24, 90, -26, -63, 73, 126, -1239, -585, -346, -43, 
-78, -141, -63, 109, -7, -102, 92, 248, -1151, -575, -351, -63, 
-63, -131, -68, 97, 2, -100, 82, 380, -980, -551, -351, -63, 
43, 9, -34, -26, 39, -12, 39, 595, -658, -424, -268, -4, 
195, 302, 107, -248, 43, 204, -53, 888, -287, -224, -82, 161, 
287, 600, 312, -444, -12, 456, -180, 980, -107, -48, 87, 336, 
336, 761, 424, -549, -43, 592, -331, 658, -273, -48, 126, 409, 
336, 854, 517, -595, -90, 685, -409, 126, -653, -73, 141, 448, 
244, 854, 610, -549, -183, 732, -429, -478, -1234, -146, 141, 473, 
151, 785, 634, -468, -241, 710, -405, -707, -1507, -253, 97, 463, 
0, 605, 605, -302, -302, 605, -244, -561, -1507, -322, 4, 390, 
-92, 307, 400, -107, -246, 353, -58, -458, -1507, -439, -161, 209, 
-97, 107, 204, -4, -151, 156, 14, -356, -1498, -522, -263, 82, 
-131, 39, 170, 46, -151, 104, 43, -263, -1488, -556, -283, 58, 
-165, -39, 126, 102, -146, 43, 73, -229, -1464, -600, -326, 34, 
-170, -102, 68, 136, -119, -17, 97, -224, -1429, -610, -375, -19, 
-156, -117, 39, 136, -97, -39, 97, -214, -1420, -614, -370, -43, 
-156, -107, 48, 131, -102, -29, 82, -185, -1410, -619, -361, -34, 
-146, -92, 53, 119, -100, -19, 63, -151, -1381, -614, -361, -24, 
-122, -82, 39, 102, -80, -21, 53, -107, -1337, -600, -351, -14, 
-97, -53, 43, 75, -70, -4, 34, -73, -1298, -600, -346, -14, 
-82, -29, 53, 56, -68, 12, 24, -43, -1288, -585, -331, -9, 
-78, -29, 48, 53, -63, 9, 19, -34, -1283, -585, -331, -9, 
-73, -29, 43, 51, -58, 7, 19, -24, -1263, -580, -331, -4, 
-73, -29, 43, 51, -58, 7, 14, -19, -1263, -580, -331, -4, 
-68, -29, 39, 48, -53, 4, 9, -14, -1263, -575, -326, -4, 
-68, -24, 43, 46, -56, 9, 9, -9, -1263, -575, -326, -9, 
-68, -24, 43, 46, -56, 9, 9, -9, -1259, -575, -326, -9, 
-68, -24, 43, 46, -56, 9, 9, -4, -1254, -575, -326, -9, 
-68, -24, 43, 46, -56, 9, 9, 0, -1249, -575, -331, -4, 
-68, -24, 43, 46, -56, 9, 9, 0, -1244, -570, -331, -4, 
-68, -24, 43, 46, -56, 9, 9, 0, -1244, -566, -331, -4, 
-63, -24, 39, 43, -51, 7, 4, -4, -1244, -570, -331, -4, 
-58, -24, 34, 41, -46, 4, 4, -4, -1244, -570, -331, -4, 
-58, -24, 34, 41, -46, 4, 4, -4, -1244, -570, -336, -9, 
-58, -24, 34, 41, -46, 4, 4, -4, -1244, -570, -336, -9, 
-58, -24, 34, 41, -46, 4, 4, -4, -1244, -575, -341, -9, 
-58, -24, 34, 41, -46, 4, 4, -4, -1239, -575, -341, -9, 
-63, -24, 39, 43, -51, 7, 4, -9, -1244, -575, -341, -9, 
-63, -24, 39, 43, -51, 7, 4, -9, -1239, -575, -341, -9, 
-68, -24, 43, 46, -56, 9, 9, -14, -1244, -580, -346, -14, 
-68, -24, 43, 46, -56, 9, 9, -14, -1239, -580, -351, -14, 
-63, -24, 39, 43, -51, 7, 9, -19, -1244, -580, -351, -14, 
-58, -24, 34, 41, -46, 4, 4, -19, -1249, -580, -356, -14, 
-68, -24, 43, 46, -56, 9, 4, -29, -1259, -580, -356, -14, 
-68, -24, 43, 46, -56, 9, 4, -34, -1259, -575, -356, -14, 
-68, -29, 39, 48, -53, 4, 4, -39, -1268, -580, -361, -19, 
-68, -29, 39, 48, -53, 4, 4, -43, -1273, -585, -361, -24, 
-78, -43, 34, 61, -56, -4, 4, -63, -1283, -590, -361, -24, 
-78, -48, 29, 63, -53, -9, 9, -73, -1293, -595, -356, -24, 
-78, -53, 24, 65, -51, -14, 9, -82, -1317, -600, -370, -24, 
-78, -58, 19, 68, -48, -19, 9, -92, -1327, -605, -370, -24, 
-82, -63, 19, 73, -51, -21, 9, -102, -1342, -605, -380, -29, 
-82, -68, 14, 75, -48, -26, 24, -107, -1351, -614, -390, -29, 
-92, -73, 19, 82, -56, -26, 19, -122, -1366, -629, -390, -34, 
-97, -78, 19, 87, -58, -29, 19, -131, -1381, -629, -395, -34, 
-97, -78, 19, 87, -58, -29, 24, -141, -1395, -629, -395, -34, 
-97, -78, 19, 87, -58, -29, 24, -146, -1395, -624, -395, -34, 
-97, -78, 19, 87, -58, -29, 24, -146, -1395, -629, -405, -34, 
-92, -78, 14, 85, -53, -31, 29, -146, -1395, -629, -395, -34, 
-87, -78, 9, 82, -48, -34, 29, -151, -1390, -629, -395, -34, 
-87, -68, 19, 78, -53, -24, 29, -151, -1381, -624, -390, -29, 
-78, -63, 14, 70, -46, -24, 19, -141, -1371, -619, -390, -29, 
-73, -58, 14, 65, -43, -21, 14, -126, -1356, -600, -375, -19, 
-68, -43, 24, 56, -46, -9, 24, -112, -1332, -600, -370, -14, 
-63, -39, 24, 51, -43, -7, 4, -102, -1302, -590, -361, -9, 
-48, -24, 24, 36, -36, 0, 0, -87, -1293, -575, -356, -9, 
-39, -9, 29, 24, -34, 9, -4, -73, -1259, -561, -351, -4, 
-24, -9, 14, 17, -19, 2, -9, -58, -1239, -561, -351, -4, 
