I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
39, 68, 29, -53, 4, 48, 39, 19, 39, 34, 29, 29, 
39, 78, 39, -58, 0, 58, 48, 29, 39, 39, 29, 29, 
39, 78, 39, -58, 0, 58, 48, 29, 39, 39, 29, 29, 
43, 78, 34, -61, 4, 56, 48, 29, 43, 39, 34, 29, 
48, 82, 34, -65, 7, 58, 48, 34, 53, 43, 43, 34, 
63, 122, 58, -92, 2, 90, 29, 34, 63, 63, 58, 48, 
87, 170, 82, -129, 2, 126, -9, 34, 78, 78, 73, 78, 
107, 214, 107, -161, 0, 161, -24, 34, 92, 97, 97, 102, 
112, 239, 126, -175, -7, 183, -53, 29, 102, 107, 107, 122, 
102, 248, 146, -175, -21, 197, -68, 14, 102, 112, 107, 126, 
102, 244, 141, -173, -19, 192, -82, 4, 97, 112, 107, 122, 
102, 239, 136, -170, -17, 187, -92, -4, 92, 112, 107, 117, 
102, 219, 117, -161, -7, 168, -102, -9, 82, 102, 107, 117, 
102, 214, 112, -158, -4, 163, -117, -9, 78, 97, 107, 117, 
112, 214, 102, -163, 4, 158, -122, -9, 73, 92, 107, 117, 
112, 214, 102, -163, 4, 158, -122, -9, 68, 87, 107, 117, 
112, 214, 102, -163, 4, 158, -122, -19, 58, 87, 107, 117, 
112, 214, 102, -163, 4, 158, -122, -24, 53, 87, 112, 117, 
107, 214, 107, -161, 0, 161, -122, -24, 48, 92, 122, 126, 
102, 214, 112, -158, -4, 163, -122, -34, 48, 97, 131, 146, 
102, 219, 117, -161, -7, 168, -117, -34, 48, 107, 146, 146, 
102, 229, 126, -165, -12, 178, -117, -34, 48, 107, 156, 146, 
92, 214, 122, -153, -14, 168, -107, -34, 48, 107, 146, 146, 
87, 204, 117, -146, -14, 161, -102, -34, 39, 97, 126, 136, 
63, 165, 102, -114, -19, 134, -97, -39, 39, 82, 107, 117, 
29, 97, 68, -63, -19, 82, -73, -39, 24, 48, 68, 78, 
4, 53, 48, -29, -21, 51, -58, -39, 19, 34, 48, 48, 
-19, 24, 43, -2, -31, 34, -43, -39, 0, 19, 24, 34, 
-39, -9, 29, 24, -34, 9, -39, -48, -14, 0, 4, 9, 
-53, -58, -4, 56, -24, -31, -24, -53, -34, -19, -14, -9, 
-63, -82, -19, 73, -21, -51, -14, -58, -43, -39, -29, -24, 
-78, -92, -14, 85, -31, -53, -14, -58, -48, -43, -39, -34, 
-78, -97, -19, 87, -29, -58, -9, -63, -58, -48, -53, -39, 
-82, -102, -19, 92, -31, -61, -9, -63, -58, -53, -53, -43, 
-87, -112, -24, 100, -31, -68, -9, -68, -63, -53, -53, -48, 
-92, -112, -19, 102, -36, -65, -9, -68, -63, -58, -53, -53, 
-97, -117, -19, 107, -39, -68, -9, -63, -63, -63, -58, -58, 
-97, -122, -24, 109, -36, -73, -9, -58, -68, -68, -63, -58, 
-97, -126, -29, 112, -34, -78, -9, -63, -73, -68, -63, -53, 
-97, -131, -34, 114, -31, -82, -9, -63, -73, -68, -63, -53, 
-97, -131, -34, 114, -31, -82, -9, -63, -73, -68, -58, -53, 
-97, -131, -34, 114, -31, -82, -9, -63, -73, -68, -53, -53, 
-97, -131, -34, 114, -31, -82, -4, -58, -73, -63, -53, -53, 
-97, -126, -29, 112, -34, -78, -4, -58, -68, -58, -53, -58, 
-97, -122, -24, 109, -36, -73, 4, -43, -53, -53, -53, -58, 
-107, -107, 0, 107, -53, -53, 34, -19, -19, -39, -48, -58, 
-117, -92, 24, 104, -70, -34, 87, 29, 34, -14, -39, -58, 
-136, -43, 92, 90, -114, 24, 151, 92, 107, 29, -34, -58, 
-204, -9, 195, 107, -200, 92, 278, 175, 185, 48, -19, -53, 
-283, 0, 283, 141, -283, 141, 458, 283, 244, 53, -24, -53, 
-307, 0, 307, 153, -307, 153, 629, 395, 287, 53, -39, -78, 
-287, -19, 268, 153, -278, 124, 771, 536, 302, 14, -97, -136, 
-156, 34, 190, 61, -173, 112, 814, 697, 351, 0, -112, -141, 
126, 165, 39, -146, 43, 102, 741, 927, 473, 58, -78, -141, 
522, 429, -92, -475, 307, 168, 590, 1244, 692, 229, 9, -117, 
858, 712, -146, -785, 502, 283, 370, 1454, 863, 400, 102, -82, 
1068, 907, -161, -988, 614, 373, 126, 1395, 893, 478, 180, 0, 
1083, 814, -268, -949, 675, 273, -141, 976, 688, 409, 175, 29, 
878, 351, -527, -614, 702, -87, -390, 297, 405, 263, 29, -102, 
336, 0, -336, -168, 336, -168, -522, -297, 302, 287, 29, -112, 
131, -107, -239, -12, 185, -173, -614, -370, 307, 307, 29, -102, 
-48, -268, -219, 158, 85, -244, -629, -570, -126, -29, -87, -92, 
-322, -434, -112, 378, -104, -273, -619, -1000, -717, -414, -175, -43, 
-356, -356, 0, 356, -178, -178, -619, -1083, -717, -419, -175, -29, 
-336, -375, -39, 356, -148, -207, -536, -951, -697, -434, -224, -87, 
-219, -390, -170, 305, -24, -280, -400, -712, -600, -390, -234, -156, 
-39, -409, -370, 224, 165, -390, -214, -419, -463, -346, -253, -234, 
53, -434, -488, 190, 270, -461, -126, -287, -419, -351, -283, -278, 
53, -458, -512, 202, 283, -485, -92, -244, -414, -361, -322, -287, 
68, -409, -478, 170, 273, -444, -58, -200, -341, -317, -292, -258, 
87, -341, -429, 126, 258, -385, -19, -146, -263, -244, -244, -229, 
73, -331, -405, 129, 239, -368, 9, -117, -234, -234, -224, -214, 
39, -302, -341, 131, 190, -322, 29, -117, -224, -209, -195, -180, 
-14, -244, -229, 129, 107, -236, 48, -97, -151, -156, -156, -136, 
-34, -190, -156, 112, 61, -173, 68, -73, -97, -97, -102, -102, 
-48, -170, -122, 109, 36, -146, 78, -68, -82, -87, -78, -82, 
-87, -156, -68, 122, -9, -112, 92, -53, -68, -78, -63, -53, 
-112, -141, -29, 126, -41, -85, 97, -48, -43, -58, -43, -39, 
-112, -122, -9, 117, -51, -65, 107, -43, -19, -34, -34, -34, 
-112, -117, -4, 114, -53, -61, 112, -34, -19, -34, -29, -34, 
-107, -117, -9, 112, -48, -63, 117, -29, -14, -29, -34, -29, 
-107, -107, 0, 107, -53, -53, 117, -24, -4, -24, -34, -29, 
-107, -102, 4, 104, -56, -48, 122, -19, 0, -24, -34, -29, 
-107, -97, 9, 102, -58, -43, 122, -14, 4, -24, -34, -29, 
-112, -97, 14, 104, -63, -41, 126, -9, 9, -14, -24, -24, 
-117, -97, 19, 107, -68, -39, 126, -9, 14, -9, -19, -24, 
